Litschau;557m;19.5°;44 %;Nordwest, 14 km/h;36 km/h;0.0 mm;79 %;1016.8 hPa;2022-05-21 18:50:02
Weitra;570m;20.5°;38 %;West, 21 km/h;52 km/h;0.0 mm;100 %;1016.5 hPa;2022-05-21 18:50:02
Zwettl;505m;21.1°;36 %;West, 10 km/h;34 km/h;0.0 mm;94 %;1016.6 hPa;2022-05-21 18:50:02
Raabs/Thaya;456m;21.3°;38 %;Nordwest, 12 km/h;33 km/h;0.0 mm;95 %;1016.2 hPa;2022-05-21 18:50:02
Allentsteig;607m;19.8°;41 %;West, 13 km/h;41 km/h;0.0 mm;100 %;1016.4 hPa;2022-05-21 18:50:02
Horn;309m;22.6°;39 %;West, 25 km/h;44 km/h;0.0 mm;98 %;1014.0 hPa;2022-05-21 18:50:02
Gars am Kamp;275m;22.8°;35 %;West, 31 km/h;45 km/h;0.0 mm;100 %;1016.0 hPa;2022-05-21 18:50:02
Langenlois;209m;24.4°;32 %;Nordwest, 16 km/h;34 km/h;0.0 mm;97 %;1016.5 hPa;2022-05-21 18:50:02
Krems;203m;24.3°;31 %;West, 18 km/h;46 km/h;0.0 mm;100 %;1016.0 hPa;2022-05-21 18:50:02
Bärnkopf;971m;17.3°;45 %;West, 12 km/h;39 km/h;0.0 mm;100 %;k.A.;2022-05-21 18:50:02
Jauerling;961m;17.2°;48 %;West, 27 km/h;57 km/h;0.0 mm;97 %;k.A.;2022-05-21 18:50:02
Retz;320m;22.6°;38 %;Nordwest, 19 km/h;40 km/h;0.0 mm;90 %;1015.6 hPa;2022-05-21 18:50:02
Laa an der Thaya;184m;23.8°;34 %;Nordwest, 19 km/h;37 km/h;0.0 mm;97 %;1015.7 hPa;2022-05-21 18:50:02
Poysdorf;206m;23.4°;39 %;Nordwest, 14 km/h;27 km/h;0.0 mm;64 %;1015.7 hPa;2022-05-21 18:50:02
Hohenau;151m;23.9°;35 %;Nordwest, 13 km/h;32 km/h;0.0 mm;42 %;1015.6 hPa;2022-05-21 18:50:02
Schöngrabern;251m;23.0°;39 %;Nordwest, 25 km/h;43 km/h;0.0 mm;100 %;1015.9 hPa;2022-05-21 18:50:02
Leiser Berge;458m;21.5°;37 %;Nordwest, 43 km/h;62 km/h;0.0 mm;100 %;1015.3 hPa;2022-05-21 18:50:02
Mistelbach;190m;24.0°;37 %;West, 15 km/h;35 km/h;0.0 mm;97 %;1015.4 hPa;2022-05-21 18:50:02
Wolkersdorf;186m;24.3°;37 %;Nordwest, 14 km/h;33 km/h;0.0 mm;100 %;1015.4 hPa;2022-05-21 18:50:02
Stockerau;205m;24.3°;32 %;Nordwest, 18 km/h;48 km/h;0.0 mm;99 %;1015.6 hPa;2022-05-21 18:50:02
Gänserndorf;164m;24.4°;39 %;Nordwest, 18 km/h;39 km/h;0.0 mm;100 %;1015.2 hPa;2022-05-21 18:50:02
Zwerndorf;146m;23.6°;42 %;Nordwest, 20 km/h;41 km/h;0.0 mm;100 %;1015.5 hPa;2022-05-21 18:50:02
Groß-Enzersdorf;153m;25.4°;35 %;West, 16 km/h;44 km/h;0.0 mm;100 %;1015.3 hPa;2022-05-21 18:50:02
